Position,Track Name,Artist,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
43,DAKITI,Bad Bunny,1511484,'https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49',0.731,0.573,4,-10.059,0,0.0544,0.401,0.0000522,0.113,0.145,109.928, 'audio_features', '4MzXwWMhyBbmu6hOcLVD49', 'spotify:track:4MzXwWMhyBbmu6hOcLVD49', 'https://api.spotify.com/v1/tracks/4MzXwWMhyBbmu6hOcLVD49', 'https://api.spotify.com/v1/audio-analysis/4MzXwWMhyBbmu6hOcLVD49',205090,4
44,Watermelon Sugar,Harry Styles,1487644,'https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY',0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39, 'audio_features', '6UelLqGlWMcVH1E5c4H7lY', 'spotify:track:6UelLqGlWMcVH1E5c4H7lY', 'https://api.spotify.com/v1/tracks/6UelLqGlWMcVH1E5c4H7lY', 'https://api.spotify.com/v1/audio-analysis/6UelLqGlWMcVH1E5c4H7lY',174000,4
45,Lost Cause,Billie Eilish,1477063,'https://open.spotify.com/track/4191RXFPa7Ge9XkA4cWlna',0.526,0.334,10,-8.491,0,0.251,0.702,0.00782,0.0586,0.522,74.966, 'audio_features', '4191RXFPa7Ge9XkA4cWlna', 'spotify:track:4191RXFPa7Ge9XkA4cWlna', 'https://api.spotify.com/v1/tracks/4191RXFPa7Ge9XkA4cWlna', 'https://api.spotify.com/v1/audio-analysis/4191RXFPa7Ge9XkA4cWlna',212496,4
46,RAPSTAR,Polo G,1476533,'https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg',0.789,0.536,6,-6.862,1,0.242,0.41,0,0.129,0.437,81.039, 'audio_features', '18vXApRmJSgQ6wG2ll9AOg', 'spotify:track:18vXApRmJSgQ6wG2ll9AOg', 'https://api.spotify.com/v1/tracks/18vXApRmJSgQ6wG2ll9AOg', 'https://api.spotify.com/v1/audio-analysis/18vXApRmJSgQ6wG2ll9AOg',165926,4
47,I Didn't Change My Number,Billie Eilish,1472322,'https://open.spotify.com/track/7bcy34fBT2ap1L4bfPsl9q',0.849,0.48,9,-5.835,1,0.226,0.612,0.269,0.295,0.677,142.021, 'audio_features', '7bcy34fBT2ap1L4bfPsl9q', 'spotify:track:7bcy34fBT2ap1L4bfPsl9q', 'https://api.spotify.com/v1/tracks/7bcy34fBT2ap1L4bfPsl9q', 'https://api.spotify.com/v1/audio-analysis/7bcy34fBT2ap1L4bfPsl9q',158463,4
48,"jealousy, jealousy",Olivia Rodrigo,1462354,'https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk',0.695,0.575,10,-6.334,0,0.116,0.198,0,0.0614,0.699,163.929, 'audio_features', '0MMyJUC3WNnFS1lit5pTjk', 'spotify:track:0MMyJUC3WNnFS1lit5pTjk', 'https://api.spotify.com/v1/tracks/0MMyJUC3WNnFS1lit5pTjk', 'https://api.spotify.com/v1/audio-analysis/0MMyJUC3WNnFS1lit5pTjk',173160,4
49,Poblado - Remix,J Balvin,1458563,'https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV',0.813,0.809,3,-5.382,0,0.0846,0.102,0.00000137,0.377,0.646,93.005, 'audio_features', '1WedZeiezCmCEOzLwhx0hV', 'spotify:track:1WedZeiezCmCEOzLwhx0hV', 'https://api.spotify.com/v1/tracks/1WedZeiezCmCEOzLwhx0hV', 'https://api.spotify.com/v1/audio-analysis/1WedZeiezCmCEOzLwhx0hV',393280,4
50,Motley Crew,Post Malone,1433995,'https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed',0.797,0.631,3,-3.818,0,0.0786,0.0904,0.00000371,0.0998,0.288,129.915, 'audio_features', '40uMIn2zJLAQhNXghRjBed', 'spotify:track:40uMIn2zJLAQhNXghRjBed', 'https://api.spotify.com/v1/tracks/40uMIn2zJLAQhNXghRjBed', 'https://api.spotify.com/v1/audio-analysis/40uMIn2zJLAQhNXghRjBed',184213,4
51,Dynamite,BTS,1373902,'https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc',0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044, 'audio_features', '4saklk6nie3yiGePpBwUoc', 'spotify:track:4saklk6nie3yiGePpBwUoc', 'https://api.spotify.com/v1/tracks/4saklk6nie3yiGePpBwUoc', 'https://api.spotify.com/v1/audio-analysis/4saklk6nie3yiGePpBwUoc',199054,4
52,2055,Sleepy Hallow,1366032,'https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo',0.829,0.512,6,-5.865,0,0.187,0.492,0,0.12,0.638,80.511, 'audio_features', '4XvcHTUfIlWfyJTRG0aqlo', 'spotify:track:4XvcHTUfIlWfyJTRG0aqlo', 'https://api.spotify.com/v1/tracks/4XvcHTUfIlWfyJTRG0aqlo', 'https://api.spotify.com/v1/audio-analysis/4XvcHTUfIlWfyJTRG0aqlo',123987,4
53,Meu Pedaco de Pecado,Joao Gomes,1352159,'https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6',0.668,0.887,11,-4.404,0,0.0564,0.369,0.00000139,0.257,0.907,151.92, 'audio_features', '2kJRlOyrxsy7Ot3c5TZ8Q6', 'spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6', 'https://api.spotify.com/v1/tracks/2kJRlOyrxsy7Ot3c5TZ8Q6', 'https://api.spotify.com/v1/audio-analysis/2kJRlOyrxsy7Ot3c5TZ8Q6',157176,4
54,Tiroteo - Remix,Marc Segui,1348207,'https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i',0.75,0.522,9,-7.018,1,0.0293,0.282,0,0.0743,0.601,110.427, 'audio_features', '4OwhwvKESFtuu06dTgct7i', 'spotify:track:4OwhwvKESFtuu06dTgct7i', 'https://api.spotify.com/v1/tracks/4OwhwvKESFtuu06dTgct7i', 'https://api.spotify.com/v1/audio-analysis/4OwhwvKESFtuu06dTgct7i',321556,4
